Workers [j],Workers in row [j],Workers in column [j],Ants number [j],Board width [j],Board height [j],Border width [j],Border height [j],Max desynchronization [j],Duration [us]
1,1,1,1600,1000,1000,1,1,1,36215171
1,1,1,1600,1000,1000,5,5,5,23572230
1,1,1,1600,1000,1000,10,10,10,21653791
1,1,1,1600,1000,1000,20,20,20,20733877
1,1,1,1600,1000,1000,50,50,50,20395073
2,1,2,800,1000,500,1,1,1,18690769
2,1,2,800,1000,500,5,5,5,12181252
2,1,2,800,1000,500,10,10,10,11345390
2,1,2,800,1000,500,20,20,20,10976526
2,1,2,800,1000,500,50,50,50,10823175
4,2,2,400,500,500,1,1,1,11667628
4,2,2,400,500,500,5,5,5,6966749
4,2,2,400,500,500,10,10,10,6035856
4,2,2,400,500,500,20,20,20,5934947
4,2,2,400,500,500,50,50,50,5778145
8,2,4,200,500,250,1,1,1,12135889
8,2,4,200,500,250,5,5,5,6957244
8,2,4,200,500,250,10,10,10,6397695
8,2,4,200,500,250,20,20,20,5980558
8,2,4,200,500,250,50,50,50,5665694
16,4,4,100,250,250,1,1,1,10026617
16,4,4,100,250,250,5,5,5,6410042
16,4,4,100,250,250,10,10,10,5958638
16,4,4,100,250,250,20,20,20,5779259
16,4,4,100,250,250,50,50,50,5698771
